bezirk,brw,nutzung,stichtag,anwert,verfahrensart,gfz,beitragszustand,lumnum,brwid
Lichtenberg,450,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2194
Friedrichshain-Kreuzberg,6500,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2197
Pankow,700,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2198
Pankow,2200,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2199
Spandau,900,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2202
Mitte,8000,M1 - Kerngebiet,2026-01-01,N,Entw,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2203
Pankow,1500,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2208
Treptow-Köpenick,1100,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2211
Spandau,250,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2213
Spandau,340,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2214
Spandau,340,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2215
Friedrichshain-Kreuzberg,5500,M1 - Kerngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2216
Tempelhof-Schöneberg,620,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2219
Lichtenberg,340,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2220
Treptow-Köpenick,280,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,2221
Mitte,7000,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2222
Friedrichshain-Kreuzberg,2300,G - Gewerbe,2026-01-01,N,Entw,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2224
Mitte,9500,M1 - Kerngebiet,2026-01-01,N,Entw,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2225
Charlottenburg-Wilmersdorf,600,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2230
Lichtenberg,640,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,2231
Spandau,470,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,2232
Spandau,490,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2233
Mitte,5000,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2235
Mitte,3500,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2236
Treptow-Köpenick,550,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2237
Friedrichshain-Kreuzberg,1500,W - Wohngebiet,2026-01-01,N,Entw,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2239
Pankow,180,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2243
Reinickendorf,170,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2244
Spandau,180,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2245
Spandau,160,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2246
Spandau,160,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2247
Reinickendorf,190,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2248
Reinickendorf,170,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2249
Mitte,170,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2250
Spandau,90,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2252
Spandau,280,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2253
Charlottenburg-Wilmersdorf,150,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2254
Charlottenburg-Wilmersdorf,400,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2255
Charlottenburg-Wilmersdorf,690,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2256
Charlottenburg-Wilmersdorf,1900,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2257
Mitte,750,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2258
Mitte,2500,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2259
Pankow,1200,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2260
Friedrichshain-Kreuzberg,850,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2261
Lichtenberg,280,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2262
Lichtenberg,160,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2263
Marzahn-Hellersdorf,140,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2264
Spandau,170,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2265
Steglitz-Zehlendorf,530,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2266
Steglitz-Zehlendorf,600,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2267
Steglitz-Zehlendorf,420,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2268
Steglitz-Zehlendorf,450,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2269
Steglitz-Zehlendorf,340,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2270
Steglitz-Zehlendorf,270,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2271
Steglitz-Zehlendorf,300,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2272
Neukölln,210,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2273
Treptow-Köpenick,210,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2274
Steglitz-Zehlendorf,420,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2275
Mitte,2000,G - Gewerbe,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2277
Mitte,600,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2278
Marzahn-Hellersdorf,250,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2280
Treptow-Köpenick,900,G - Gewerbe,2026-01-01,,,2.4,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2283
Treptow-Köpenick,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2284
Treptow-Köpenick,250,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2285
Spandau,450,W - Wohngebiet,2026-01-01,,,0.7,Beitragsfrei nach BauGB,,2286
Treptow-Köpenick,450,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2287
Lichtenberg,850,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2288
Neukölln,600,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2289
Neukölln,600,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2290
Treptow-Köpenick,900,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2291
Pankow,1900,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2292
Friedrichshain-Kreuzberg,2400,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2293
Friedrichshain-Kreuzberg,4500,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2294
Mitte,8000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2295
Neukölln,570,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,2297
Neukölln,360,W - Wohngebiet,2026-01-01,,,0.1,Beitragsfrei nach BauGB,,2299
Neukölln,550,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2300
Neukölln,550,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2301
Pankow,590,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2302
Treptow-Köpenick,680,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,2303
Treptow-Köpenick,600,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2304
Spandau,190,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2305
Marzahn-Hellersdorf,170,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2306
Pankow,2500,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2307
Pankow,2700,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2308
Pankow,4500,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2309
Pankow,3800,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2310
Treptow-Köpenick,450,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2311
Pankow,150,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2313
Charlottenburg-Wilmersdorf,1600,W - Wohngebiet,2026-01-01,,,0.5,Beitragsfrei nach BauGB,,2314
Marzahn-Hellersdorf,420,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,2315
Steglitz-Zehlendorf,900,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2316
Lichtenberg,850,W - Wohngebiet,2026-01-01,SU,San,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2317
Lichtenberg,1200,G - Gewerbe,2026-01-01,SU,San,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2318
Lichtenberg,1200,W - Wohngebiet,2026-01-01,SU,San,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2319
Mitte,1700,W - Wohngebiet,2026-01-01,SU,San,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2320
Mitte,2000,M1 - Kerngebiet,2026-01-01,SU,San,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2321
Mitte,1900,M2 - Mischgebiet,2026-01-01,SU,San,3,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2322
Mitte,2100,W - Wohngebiet,2026-01-01,SU,San,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2323
Mitte,3600,M2 - Mischgebiet,2026-01-01,SU,San,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2324
Neukölln,2200,W - Wohngebiet,2026-01-01,SU,San,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2325
Neukölln,2200,M1 - Kerngebiet,2026-01-01,SU,San,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2326
Neukölln,2100,M2 - Mischgebiet,2026-01-01,SU,San,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2327
Neukölln,600,G - Gewerbe,2026-01-01,SU,San,,Beitragsfrei nach BauGB,,2328
Spandau,300,G - Gewerbe,2026-01-01,SU,San,,Beitragsfrei nach BauGB,,2330
Spandau,800,W - Wohngebiet,2026-01-01,SU,San,0.6,Beitragsfrei nach BauGB,,2331
Spandau,1000,G - Gewerbe,2026-01-01,SU,San,,Beitragsfrei nach BauGB,,2332
Spandau,1200,W - Wohngebiet,2026-01-01,SU,San,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2333
Spandau,1200,W - Wohngebiet,2026-01-01,SU,San,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2334
Spandau,1200,W - Wohngebiet,2026-01-01,SU,San,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2335
Treptow-Köpenick,900,W - Wohngebiet,2026-01-01,N,Entw,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2336
Treptow-Köpenick,600,G - Gewerbe,2026-01-01,N,Entw,,Beitragsfrei nach BauGB,,2337
Mitte,530,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2338
Reinickendorf,160,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2339
Treptow-Köpenick,6000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2340
Charlottenburg-Wilmersdorf,1000,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2341
Tempelhof-Schöneberg,3500,G - Gewerbe,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2342
Marzahn-Hellersdorf,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2344
Friedrichshain-Kreuzberg,8000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2346
Mitte,7000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2347
Mitte,9000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2348
Marzahn-Hellersdorf,1100,M1 - Kerngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2349
Lichtenberg,1300,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2350
Treptow-Köpenick,450,W - Wohngebiet,2026-01-01,,,0.7,Beitragsfrei nach BauGB,,2352
Treptow-Köpenick,450,W - Wohngebiet,2026-01-01,,,0.7,Beitragsfrei nach BauGB,,2353
Reinickendorf,320,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,2356
Reinickendorf,520,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2357
Marzahn-Hellersdorf,360,W - Wohngebiet,2026-01-01,,,0.2,Beitragsfrei nach BauGB,,2358
Marzahn-Hellersdorf,290,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2359
Lichtenberg,430,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2360
Treptow-Köpenick,800,G - Gewerbe,2026-01-01,N,Entw,1.6,Beitragsfrei nach BauGB,,2361
Reinickendorf,500,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2362
Steglitz-Zehlendorf,250,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2363
Treptow-Köpenick,200,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2364
Steglitz-Zehlendorf,630,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2365
Lichtenberg,530,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,2366
Pankow,5000,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2367
Spandau,210,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2370
Charlottenburg-Wilmersdorf,2700,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2371
Steglitz-Zehlendorf,1300,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2373
Spandau,340,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2374
Pankow,550,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2375
Friedrichshain-Kreuzberg,750,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2376
Spandau,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2377
Marzahn-Hellersdorf,450,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2378
Treptow-Köpenick,500,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2379
Lichtenberg,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2380
Marzahn-Hellersdorf,480,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2381
Marzahn-Hellersdorf,490,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2382
Tempelhof-Schöneberg,610,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2384
Charlottenburg-Wilmersdorf,900,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2385
Pankow,550,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2386
Pankow,480,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2387
Pankow,750,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2388
Charlottenburg-Wilmersdorf,1400,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2389
Mitte,1200,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2390
Charlottenburg-Wilmersdorf,10000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2391
Pankow,5000,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2392
Steglitz-Zehlendorf,1400,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,2395
Treptow-Köpenick,490,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,2396
Tempelhof-Schöneberg,1000,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2397
Steglitz-Zehlendorf,2700,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2398
Steglitz-Zehlendorf,2000,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2399
Mitte,1700,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2400
Mitte,2500,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2401
Treptow-Köpenick,450,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2402
Mitte,4000,M2 - Mischgebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2403
Marzahn-Hellersdorf,400,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2404
Reinickendorf,600,M2 - Mischgebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,2406
Mitte,5000,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2409
Mitte,8000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2410
Mitte,60000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2411
Mitte,8000,M1 - Kerngebiet,2026-01-01,N,Entw,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2412
Mitte,12000,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2413
Mitte,2800,GB - Gemeinbedarf,2026-01-01,,,,Beitragsfrei nach BauGB,,2414
Spandau,530,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2415
Spandau,500,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2416
Spandau,500,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2417
Lichtenberg,750,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2418
Mitte,4500,W - Wohngebiet,2026-01-01,,,2.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2419
Treptow-Köpenick,850,W - Wohngebiet,2026-01-01,N,Entw,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2420
Charlottenburg-Wilmersdorf,2000,G - Gewerbe,2026-01-01,,,2.5,Beitragsfrei nach BauGB,,2421
Charlottenburg-Wilmersdorf,700,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2422
Spandau,900,W - Wohngebiet,2026-01-01,,,1.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2424
Marzahn-Hellersdorf,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,2425
Pankow,430,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,2426
Marzahn-Hellersdorf,460,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,2427
Spandau,650,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2428
Spandau,1200,W - Wohngebiet,2026-01-01,,,2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,2429
