bezirk,brw,nutzung,stichtag,anwert,verfahrensart,gfz,beitragszustand,lumnum,brwid
Treptow-Köpenick,460,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1119
Treptow-Köpenick,400,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1122
Charlottenburg-Wilmersdorf,950,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1124
Treptow-Köpenick,590,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1126
Reinickendorf,550,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1127
Mitte,8500,M1 - Kerngebiet,2026-01-01,N,Entw,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1128
Tempelhof-Schöneberg,3500,M2 - Mischgebiet,2026-01-01,,,3,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1130
Mitte,9500,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1132
Charlottenburg-Wilmersdorf,670,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1139
Treptow-Köpenick,460,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1141
Treptow-Köpenick,200,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1143
Lichtenberg,750,W - Wohngebiet,2026-01-01,,,1.2,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1144
Mitte,7500,M2 - Mischgebiet,2026-01-01,EU,Entw,3.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1145
Charlottenburg-Wilmersdorf,670,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1149
Treptow-Köpenick,420,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1150
Mitte,8500,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1151
Lichtenberg,550,W - Wohngebiet,2026-01-01,,,0.8,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1152
Charlottenburg-Wilmersdorf,950,W - Wohngebiet,2026-01-01,,,0.4,Beitragsfrei nach BauGB,,1154
Charlottenburg-Wilmersdorf,4000,M2 - Mischgebiet,2026-01-01,,,3,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1156
Treptow-Köpenick,410,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,1157
Reinickendorf,200,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1159
Spandau,500,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1160
Charlottenburg-Wilmersdorf,900,W - Wohngebiet,2026-01-01,,,0.6,Beitragsfrei nach BauGB,,1161
Treptow-Köpenick,300,Gp - Gewerbe produzierend,2026-01-01,SU,San,,Beitragsfrei nach BauGB,,1163
Tempelhof-Schöneberg,600,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1167
Pankow,350,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1168
Charlottenburg-Wilmersdorf,9000,M1 - Kerngebiet,2026-01-01,,,4.5,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1170
Tempelhof-Schöneberg,550,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1171
Treptow-Köpenick,390,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,1174
Spandau,200,G - Gewerbe,2026-01-01,,,,Beitragsfrei nach BauGB,,1178
Tempelhof-Schöneberg,550,W - Wohngebiet,2026-01-01,,,1,Beitragsfrei nach BauGB,https://www.berlin.de/gutachterausschuss/marktinformationen/daten-zur-wertermittlung/artikel.174898.php,1182
Treptow-Köpenick,710,W - Wohngebiet,2026-01-01,,,0.3,Beitragsfrei nach BauGB,,1185
