place_id,name,rating,lat,lng,type,review_text,review_rating,review_time,review_author
ChIJvXMPwbtTqEcRwm2P1c28yGE,DHL Packstation 247,3.3,52.57380509999999,13.355179,DHL Packstation,"Wichtig: Nur per App bedienbar, sofern diese vorab freigeschaltet wurde (man muss nach erster Registrierung einen Brief abwarten mit QR Code!)

Häufig voll. Gerade zu Stoßzeiten wie Weihnachten häufig zu voll, weshalb Pakete dann ziemlich weit weg in der Station 420 bei Aldi landen. Ansonsten toll, dass es hier endlich wenigstens eine kleine Station gibt (war wirklich höchste Zeit für diese Gegend)",4,vor einem Monat,Charly Saß
ChIJvXMPwbtTqEcRwm2P1c28yGE,DHL Packstation 247,3.3,52.57380509999999,13.355179,DHL Packstation,"Stehe regelmäßig 15 Minuten davor und sie lässt sich nicht öffnen. Bluetooth Verbindung funktioniert völlig willkürlich. Schon so oft wurden Pakete zurückgeschickt, weil sich das Ding nicht öffnen ließ. Zumindest ein Bildschirm wäre nützlich, um einen Workaround für die App zu haben. So ist die Station einfach komplett untauglich.",1,vor 5 Monaten,Krissi
ChIJvXMPwbtTqEcRwm2P1c28yGE,DHL Packstation 247,3.3,52.57380509999999,13.355179,DHL Packstation,"Top Ablauf. Keine Probleme. (Lediglich ein gutaussehender Paketbote hat die zeitgerechte Entnahme etwas verzögert, aber sehen wir da mal drüber hinweg lol)",5,vor einem Monat,Michelle Weise
ChIJzzmn0pJTqEcRTHqo5Q1Pumk,DHL Packstation 194,5,52.5854201,13.3271591,DHL Packstation,,5,vor 11 Monaten,Marco Reimer
ChIJ86Cam9RRqEcRJeLofljMMGc,DHL Packstation 246,2.5,52.5500123,13.3412948,DHL Packstation,"Da will man nur sein Paket abholen und muss dafür erstmal Minutenlang die DHL App einrichten und auch noch so eine bescheuerte Video-Verifizierung machen. Noch nie so eine kundenunfreundliche und umständliche Paketabholung erlebt. Kann jetzt erstmal wieder nach Hause, um die Verifizierung zu machen.",1,vor 3 Monaten,der taubenhaucher
ChIJ86Cam9RRqEcRJeLofljMMGc,DHL Packstation 246,2.5,52.5500123,13.3412948,DHL Packstation,Sendung wurde an die falsche Station geliefert.  Diese funktioniert nur mit Bluetooth und damit ist meine Sendung im chaos der DHL verloren.,1,vor 5 Monaten,Tim Olk
ChIJ86Cam9RRqEcRJeLofljMMGc,DHL Packstation 246,2.5,52.5500123,13.3412948,DHL Packstation,"Wie kann man 2 Packstationen innerhalb Berlins die gleiche Nummer geben, wie blöd ist das? Zweite Frage warum muss man eine Postleitzahl angeben, wenn es den Paketboten nicht interessiert ? Ich wohne in Charlottenburg und soll in den Wedding fahren für ein Paket. Typisch DHL... völlig Planlos. Eigentlich wären 0 Sterne richtig, geht leider nicht.",1,vor einem Jahr,Marlene S.
ChIJ86Cam9RRqEcRJeLofljMMGc,DHL Packstation 246,2.5,52.5500123,13.3412948,DHL Packstation,"Für diese Station wird man gezwungen eine App runter zu laden, DHL Kundenservice hilft nur auf gut Glück Pakete umzuleiten - klarer Fall für den Verbraucherschutz!",1,vor einem Jahr,H. E.
ChIJ86Cam9RRqEcRJeLofljMMGc,DHL Packstation 246,2.5,52.5500123,13.3412948,DHL Packstation,"Ich Frage mich warum DHL 2 Packstationen mit gleicher Bezeichnung im Plan hat. Muss ich nach Charlottenburg fahren obwohl ich im Wedding wohne. Dem Computer der DHL und dem Fahrer ist das egal. Kleine Sache, große Wirkung",1,vor 2 Jahren,Stephan S.
ChIJx_j-QMJTqEcR_Fyz91q4-1k,DHL Packstation 193,5,52.5859829,13.3287364,DHL Packstation,"Packstation direkt auf dem Parkplatz, nur per App bedienbar.",5,vor einem Monat,Lisa Müller
